Table: Table_1

Argument ,Description ,
X, Y, Z ,Data values as 2D arrays ,
rstride ,Array row stride (step size) ,
estride ,Array column stride (step size) ,
cmap ,A colormap for the surface patches ,





Table: Table_2

Parameter ,Description ,
img ,The input (grayscale) image (1) ,
threshold1 ,The first threshold for the hysteresis ,
threshold2 ,The second threshold for the hysteresis ,
apertureSize ,Aperture size for the Sobel operator ,
L2gradient ,A flag, indicating whether a more accurate L2 norm - . (31/3y)²) should be used to calculate the image gradient magnitude (L2gradient-true) or whether the default L1 norm = I 01/0x| + is enough (L2gradient-false) ,





